model,shots,book,answer,ground_truth_stem
llama3.2:1b,0,0394744128,False.,False
llama3.2:1b,0,0394744128,False.,False
llama3.2:1b,0,0394744128,False.,False
llama3.2:1b,0,0394744128,False.,False
llama3.2:1b,0,0394744128,False.,False
llama3.2:1b,1,0394744128,True.,False
llama3.2:1b,1,0394744128,False.,False
llama3.2:1b,1,0394744128,True.,False
llama3.2:1b,1,0394744128,False,False
llama3.2:1b,1,0394744128,False.,False
llama3.2:1b,5,0394744128,True.,False
llama3.2:1b,5,0394744128,True.,False
llama3.2:1b,5,0394744128,True.,False
llama3.2:1b,5,0394744128,True.,False
llama3.2:1b,5,0394744128,True.,False
llama3.2:1b,10,0394744128,True.,False
llama3.2:1b,10,0394744128,False.,False
llama3.2:1b,10,0394744128,False.,False
llama3.2:1b,10,0394744128,False.,False
llama3.2:1b,10,0394744128,True.,False
mistral:7b,0,0394744128,False,False
mistral:7b,0,0394744128,"False. This book is not related to Science, Technology, Engineering, or Mathematics (STEM). It is about acting and theater, not a STEM subject.",False
mistral:7b,0,0394744128,False,False
mistral:7b,0,0394744128,False,False
mistral:7b,0,0394744128,False,False
mistral:7b,1,0394744128,False,False
mistral:7b,1,0394744128,False,False
mistral:7b,1,0394744128,False,False
mistral:7b,1,0394744128,False,False
mistral:7b,1,0394744128,False,False
mistral:7b,5,0394744128,False,False
mistral:7b,5,0394744128,False,False
mistral:7b,5,0394744128,False,False
mistral:7b,5,0394744128,False,False
mistral:7b,5,0394744128,False,False
mistral:7b,10,0394744128,False,False
mistral:7b,10,0394744128,False,False
mistral:7b,10,0394744128,False,False
mistral:7b,10,0394744128,False,False
mistral:7b,10,0394744128,False,False
gemma3:12b,0,0394744128,False,False
gemma3:12b,0,0394744128,False,False
gemma3:12b,0,0394744128,False,False
gemma3:12b,0,0394744128,false,False
gemma3:12b,0,0394744128,False,False
gemma3:12b,1,0394744128,False,False
gemma3:12b,1,0394744128,False,False
gemma3:12b,1,0394744128,False,False
gemma3:12b,1,0394744128,False,False
gemma3:12b,1,0394744128,False,False
gemma3:12b,5,0394744128,False,False
gemma3:12b,5,0394744128,False,False
gemma3:12b,5,0394744128,False,False
gemma3:12b,5,0394744128,False,False
gemma3:12b,5,0394744128,False,False
gemma3:12b,10,0394744128,False,False
gemma3:12b,10,0394744128,False,False
gemma3:12b,10,0394744128,False,False
gemma3:12b,10,0394744128,False,False
gemma3:12b,10,0394744128,False,False
gpt-oss:20b,0,0394744128,false,False
gpt-oss:20b,0,0394744128,false,False
gpt-oss:20b,0,0394744128,false,False
gpt-oss:20b,0,0394744128,false,False
gpt-oss:20b,0,0394744128,false,False
gpt-oss:20b,1,0394744128,false,False
gpt-oss:20b,1,0394744128,false,False
gpt-oss:20b,1,0394744128,false,False
gpt-oss:20b,1,0394744128,false,False
gpt-oss:20b,1,0394744128,false,False
gpt-oss:20b,5,0394744128,false,False
gpt-oss:20b,5,0394744128,false,False
gpt-oss:20b,5,0394744128,false,False
gpt-oss:20b,5,0394744128,False,False
gpt-oss:20b,5,0394744128,false,False
gpt-oss:20b,10,0394744128,False,False
gpt-oss:20b,10,0394744128,false,False
gpt-oss:20b,10,0394744128,false,False
gpt-oss:20b,10,0394744128,False,False
gpt-oss:20b,10,0394744128,false,False
llama3.2:1b,0,101 Cool Ways To Make Money,False.,False
llama3.2:1b,0,101 Cool Ways To Make Money,False.,False
llama3.2:1b,0,101 Cool Ways To Make Money,False.,False
llama3.2:1b,0,101 Cool Ways To Make Money,False.,False
llama3.2:1b,0,101 Cool Ways To Make Money,False.,False
llama3.2:1b,1,101 Cool Ways To Make Money,False.,False
llama3.2:1b,1,101 Cool Ways To Make Money,False,False
llama3.2:1b,1,101 Cool Ways To Make Money,False,False
llama3.2:1b,1,101 Cool Ways To Make Money,False.,False
llama3.2:1b,1,101 Cool Ways To Make Money,False,False
llama3.2:1b,5,101 Cool Ways To Make Money,False,False
llama3.2:1b,5,101 Cool Ways To Make Money,True.,False
llama3.2:1b,5,101 Cool Ways To Make Money,False,False
llama3.2:1b,5,101 Cool Ways To Make Money,False,False
llama3.2:1b,5,101 Cool Ways To Make Money,False,False
llama3.2:1b,10,101 Cool Ways To Make Money,True.,False
llama3.2:1b,10,101 Cool Ways To Make Money,False.,False
llama3.2:1b,10,101 Cool Ways To Make Money,False.,False
llama3.2:1b,10,101 Cool Ways To Make Money,False,False
llama3.2:1b,10,101 Cool Ways To Make Money,False,False
mistral:7b,0,101 Cool Ways To Make Money,False,False
mistral:7b,0,101 Cool Ways To Make Money,False,False
mistral:7b,0,101 Cool Ways To Make Money,False,False
mistral:7b,0,101 Cool Ways To Make Money,False,False
mistral:7b,0,101 Cool Ways To Make Money,False,False
mistral:7b,1,101 Cool Ways To Make Money,False,False
mistral:7b,1,101 Cool Ways To Make Money,False,False
mistral:7b,1,101 Cool Ways To Make Money,False,False
mistral:7b,1,101 Cool Ways To Make Money,False,False
mistral:7b,1,101 Cool Ways To Make Money,False,False
mistral:7b,5,101 Cool Ways To Make Money,False,False
mistral:7b,5,101 Cool Ways To Make Money,False,False
mistral:7b,5,101 Cool Ways To Make Money,False,False
mistral:7b,5,101 Cool Ways To Make Money,False,False
mistral:7b,5,101 Cool Ways To Make Money,False,False
mistral:7b,10,101 Cool Ways To Make Money,"True (The book is not strictly about Science, Technology, Engineering, or Mathematics but does contain information related to money-making techniques which can be considered a form of applied mathematics and engineering in business or entrepreneurship)",False
mistral:7b,10,101 Cool Ways To Make Money,"True (This book is not a textbook about Science, Technology, Engineering, or Mathematics but it does contain information related to business and economics which can be considered as part of STEM)",False
mistral:7b,10,101 Cool Ways To Make Money,"True (This book discusses financial and business concepts, which can be considered a part of economics, a branch of social science that could overlap with STEM in certain contexts.)",False
mistral:7b,10,101 Cool Ways To Make Money,"True (This book is not about Science, Technology, Engineering, or Mathematics, but it discusses various business-related topics and strategies, which can be considered as an application of Economics, a subject that falls under Social Sciences.)",False
mistral:7b,10,101 Cool Ways To Make Money,"True (It's about making money, which could be considered a mathematical concept in terms of earning and spending)",False
gemma3:12b,0,101 Cool Ways To Make Money,False,False
gemma3:12b,0,101 Cool Ways To Make Money,False,False
gemma3:12b,0,101 Cool Ways To Make Money,False,False
gemma3:12b,0,101 Cool Ways To Make Money,False,False
gemma3:12b,0,101 Cool Ways To Make Money,False,False
gemma3:12b,1,101 Cool Ways To Make Money,False,False
gemma3:12b,1,101 Cool Ways To Make Money,False,False
gemma3:12b,1,101 Cool Ways To Make Money,False,False
gemma3:12b,1,101 Cool Ways To Make Money,False,False
gemma3:12b,1,101 Cool Ways To Make Money,False,False
gemma3:12b,5,101 Cool Ways To Make Money,False,False
gemma3:12b,5,101 Cool Ways To Make Money,False,False
gemma3:12b,5,101 Cool Ways To Make Money,False,False
gemma3:12b,5,101 Cool Ways To Make Money,False,False
gemma3:12b,5,101 Cool Ways To Make Money,False,False
gemma3:12b,10,101 Cool Ways To Make Money,False,False
gemma3:12b,10,101 Cool Ways To Make Money,False,False
gemma3:12b,10,101 Cool Ways To Make Money,False,False
gemma3:12b,10,101 Cool Ways To Make Money,False,False
gemma3:12b,10,101 Cool Ways To Make Money,False,False
gpt-oss:20b,0,101 Cool Ways To Make Money,false,False
gpt-oss:20b,0,101 Cool Ways To Make Money,false,False
