model,shots,book,answer,ground_truth_stem
llama3.2:1b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False.,False
llama3.2:1b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False.,False
llama3.2:1b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",True,False
llama3.2:1b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False.,False
llama3.2:1b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
llama3.2:1b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",True,False
llama3.2:1b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False.,False
mistral:7b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
mistral:7b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",True (because it involves magic which is a branch of science in the fantasy world),False
