model,shots,book,answer,ground_truth_stem,answer_clean
llama3.2:1b,0,9780321795465,False,True,False
llama3.2:1b,0,9780321795465,False,True,False
llama3.2:1b,0,9780321795465,False,True,False
llama3.2:1b,0,9780321795465,False,True,False
llama3.2:1b,0,9780321795465,False,True,False
llama3.2:1b,1,9780321795465,False,True,False
llama3.2:1b,1,9780321795465,False,True,False
llama3.2:1b,1,9780321795465,False,True,False
llama3.2:1b,1,9780321795465,False,True,False
llama3.2:1b,1,9780321795465,False,True,False
llama3.2:1b,5,9780321795465,True,True,True
llama3.2:1b,5,9780321795465,False.,True,False
llama3.2:1b,5,9780321795465,False,True,False
llama3.2:1b,5,9780321795465,True,True,True
llama3.2:1b,5,9780321795465,False.,True,False
llama3.2:1b,10,9780321795465,False,True,False
llama3.2:1b,10,9780321795465,False,True,False
llama3.2:1b,10,9780321795465,False,True,False
llama3.2:1b,10,9780321795465,False,True,False
llama3.2:1b,10,9780321795465,False,True,False
mistral:7b,0,9780321795465,True,True,True
mistral:7b,0,9780321795465,True,True,True
mistral:7b,0,9780321795465,True,True,True
mistral:7b,0,9780321795465,True,True,True
mistral:7b,0,9780321795465,True,True,True
mistral:7b,1,9780321795465,True,True,True
mistral:7b,1,9780321795465,True,True,True
mistral:7b,1,9780321795465,True,True,True
mistral:7b,1,9780321795465,True,True,True
mistral:7b,1,9780321795465,True,True,True
mistral:7b,5,9780321795465,True,True,True
mistral:7b,5,9780321795465,True,True,True
mistral:7b,5,9780321795465,True,True,True
mistral:7b,5,9780321795465,True,True,True
mistral:7b,5,9780321795465,True,True,True
mistral:7b,10,9780321795465,True,True,True
mistral:7b,10,9780321795465,True,True,True
mistral:7b,10,9780321795465,True,True,True
mistral:7b,10,9780321795465,True,True,True
mistral:7b,10,9780321795465,True,True,True
gemma3:12b,0,9780321795465,True,True,True
gemma3:12b,0,9780321795465,True,True,True
gemma3:12b,0,9780321795465,True,True,True
gemma3:12b,0,9780321795465,True,True,True
gemma3:12b,0,9780321795465,True,True,True
gemma3:12b,1,9780321795465,True,True,True
gemma3:12b,1,9780321795465,True,True,True
gemma3:12b,1,9780321795465,True,True,True
gemma3:12b,1,9780321795465,True,True,True
gemma3:12b,1,9780321795465,True,True,True
gemma3:12b,5,9780321795465,True,True,True
gemma3:12b,5,9780321795465,True,True,True
gemma3:12b,5,9780321795465,True,True,True
gemma3:12b,5,9780321795465,True,True,True
gemma3:12b,5,9780321795465,True,True,True
gemma3:12b,10,9780321795465,True,True,True
gemma3:12b,10,9780321795465,True,True,True
gemma3:12b,10,9780321795465,True,True,True
gemma3:12b,10,9780321795465,True,True,True
gemma3:12b,10,9780321795465,True,True,True
llama3.2:1b,0,Bagombo Snuff Box,True.,False,True
llama3.2:1b,0,Bagombo Snuff Box,False.,False,False
llama3.2:1b,0,Bagombo Snuff Box,False,False,False
llama3.2:1b,0,Bagombo Snuff Box,False,False,False
llama3.2:1b,0,Bagombo Snuff Box,False,False,False
llama3.2:1b,1,Bagombo Snuff Box,False.,False,False
llama3.2:1b,1,Bagombo Snuff Box,False.,False,False
llama3.2:1b,1,Bagombo Snuff Box,True,False,True
llama3.2:1b,1,Bagombo Snuff Box,False,False,False
llama3.2:1b,1,Bagombo Snuff Box,True.,False,True
llama3.2:1b,5,Bagombo Snuff Box,True.,False,True
llama3.2:1b,5,Bagombo Snuff Box,False.,False,False
llama3.2:1b,5,Bagombo Snuff Box,False.,False,False
llama3.2:1b,5,Bagombo Snuff Box,False.,False,False
llama3.2:1b,5,Bagombo Snuff Box,True,False,True
llama3.2:1b,10,Bagombo Snuff Box,False.,False,False
llama3.2:1b,10,Bagombo Snuff Box,False.,False,False
llama3.2:1b,10,Bagombo Snuff Box,True,False,True
llama3.2:1b,10,Bagombo Snuff Box,False.,False,False
llama3.2:1b,10,Bagombo Snuff Box,False.,False,False
mistral:7b,0,Bagombo Snuff Box,"False, ""Bagombo Snuff Box"" is not a STEM book. It's a collection of short stories by Kurt Vonnegut Jr., focusing on literature and humanities rather than science, technology, engineering, or mathematics.",False,False
mistral:7b,0,Bagombo Snuff Box,False,False,False
mistral:7b,0,Bagombo Snuff Box,False,False,False
mistral:7b,0,Bagombo Snuff Box,False,False,False
mistral:7b,0,Bagombo Snuff Box,"False, the ""Bagombo Snuff Box"" is not a STEM book as it falls under the category of literature and specifically fiction writing by Kurt Vonnegut.",False,False
mistral:7b,1,Bagombo Snuff Box,False,False,False
mistral:7b,1,Bagombo Snuff Box,False,False,False
mistral:7b,1,Bagombo Snuff Box,False,False,False
mistral:7b,1,Bagombo Snuff Box,False,False,False
mistral:7b,1,Bagombo Snuff Box,False,False,False
mistral:7b,5,Bagombo Snuff Box,False,False,False
mistral:7b,5,Bagombo Snuff Box,False,False,False
mistral:7b,5,Bagombo Snuff Box,False,False,False
mistral:7b,5,Bagombo Snuff Box,False,False,False
mistral:7b,5,Bagombo Snuff Box,False,False,False
mistral:7b,10,Bagombo Snuff Box,False,False,False
mistral:7b,10,Bagombo Snuff Box,"False, ""Bagombo Snuff Box"" is not a STEM book. It's a collection of short stories written by Kurt Vonnegut that primarily focuses on literature and humanities rather than science, technology, engineering, or mathematics.",False,False
mistral:7b,10,Bagombo Snuff Box,"False, ""Bagombo Snuff Box"" is not a STEM book. It's a collection of short stories by Kurt Vonnegut that primarily focus on human relationships, philosophy, and humor, rather than science, technology, engineering, or mathematics.",False,False
mistral:7b,10,Bagombo Snuff Box,"False, this book ""Bagombo Snuff Box"" is not categorized as STEM (Science, Technology, Engineering, Mathematics). The book is a collection of short stories written by Kurt Vonnegut and primarily deals with human emotions, societal issues, and fictional narratives, rather than scientific, technological, engineering, or mathematical concepts.",False,False
mistral:7b,10,Bagombo Snuff Box,"False, ""Bagombo Snuff Box"" is not a STEM book as it falls under the category of literature.",False,False
gemma3:12b,0,Bagombo Snuff Box,False,False,False
gemma3:12b,0,Bagombo Snuff Box,False,False,False
gemma3:12b,0,Bagombo Snuff Box,False,False,False
gemma3:12b,0,Bagombo Snuff Box,False,False,False
gemma3:12b,0,Bagombo Snuff Box,False,False,False
gemma3:12b,1,Bagombo Snuff Box,False,False,False
gemma3:12b,1,Bagombo Snuff Box,False,False,False
gemma3:12b,1,Bagombo Snuff Box,False,False,False
gemma3:12b,1,Bagombo Snuff Box,False,False,False
gemma3:12b,1,Bagombo Snuff Box,False,False,False
gemma3:12b,5,Bagombo Snuff Box,False,False,False
gemma3:12b,5,Bagombo Snuff Box,False,False,False
gemma3:12b,5,Bagombo Snuff Box,False,False,False
gemma3:12b,5,Bagombo Snuff Box,False,False,False
gemma3:12b,5,Bagombo Snuff Box,False,False,False
gemma3:12b,10,Bagombo Snuff Box,False,False,False
gemma3:12b,10,Bagombo Snuff Box,False,False,False
gemma3:12b,10,Bagombo Snuff Box,False,False,False
gemma3:12b,10,Bagombo Snuff Box,False,False,False
gemma3:12b,10,Bagombo Snuff Box,False,False,False
llama3.2:1b,0,9780078807800,True.,False,True
llama3.2:1b,0,9780078807800,False.,False,False
llama3.2:1b,0,9780078807800,False.,False,False
llama3.2:1b,0,9780078807800,False.,False,False
llama3.2:1b,0,9780078807800,False,False,False
llama3.2:1b,1,9780078807800,False,False,False
llama3.2:1b,1,9780078807800,False,False,False
llama3.2:1b,1,9780078807800,False,False,False
llama3.2:1b,1,9780078807800,False,False,False
llama3.2:1b,1,9780078807800,False.,False,False
llama3.2:1b,5,9780078807800,True,False,True
llama3.2:1b,5,9780078807800,False.,False,False
llama3.2:1b,5,9780078807800,False.,False,False
llama3.2:1b,5,9780078807800,False,False,False
llama3.2:1b,5,9780078807800,False.,False,False
llama3.2:1b,10,9780078807800,False.,False,False
llama3.2:1b,10,9780078807800,False.,False,False
llama3.2:1b,10,9780078807800,False.,False,False
llama3.2:1b,10,9780078807800,False.,False,False
